listing_id,address,suburb,state,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,latitude,longitude,sale_date,sale_method,sale_price,source_url,source_file,source_page,expected_suburb
2020439528,114 Thomas Street,Parramatta,NSW,2150,House,3,2,1,381,-33.81262,151.02042,2025-12-13,at auction,1360000,https://www.domain.com.au/114-thomas-street-parramatta-nsw-2150-2020439528,Parrametta1.html,1,Parramatta
2020502073,124 Thomas Street,Parramatta,NSW,2150,House,3,1,1,739,-33.81279,151.02124,2026-06-27,by private treaty,2300000,https://www.domain.com.au/124-thomas-street-parramatta-nsw-2150-2020502073,Parrametta1.html,1,Parramatta
2020599158,13 Morton Street,Parramatta,NSW,2150,House,4,3,2,461,-33.811596,151.0171,2026-04-04,by private treaty,1800000,https://www.domain.com.au/13-morton-street-parramatta-nsw-2150-2020599158,Parrametta1.html,1,Parramatta
2020721730,11 Pemberton Street,Parramatta,NSW,2150,House,3,1,1,461,-33.811855,151.01978,2026-05-27,by private treaty,1610000,https://www.domain.com.au/11-pemberton-street-parramatta-nsw-2150-2020721730,Parrametta1.html,1,Parramatta
2020744269,28 Marsden Street,Parramatta,NSW,2150,House,3,1,1,505,-33.825108,150.99956,2026-05-02,at auction,1555000,https://www.domain.com.au/28-marsden-street-parramatta-nsw-2150-2020744269,Parrametta1.html,1,Parramatta
2020749469,57 Pitt Street,Parramatta,NSW,2150,House,4,2,2,236,-33.825397,150.99416,2026-05-12,by private treaty,1310000,https://www.domain.com.au/57-pitt-street-parramatta-nsw-2150-2020749469,Parrametta1.html,1,Parramatta
2020775848,51 Gore Street,Parramatta,NSW,2150,House,3,1,1,461,-33.809044,151.01682,2026-05-16,at auction,1480000,https://www.domain.com.au/51-gore-street-parramatta-nsw-2150-2020775848,Parrametta1.html,1,Parramatta
2020824771,39 Pitt Street,Parramatta,NSW,2150,SemiDetached,5,3,2,319,-33.822918,150.99506,2026-05-27,at auction,1438888,https://www.domain.com.au/39-pitt-street-parramatta-nsw-2150-2020824771,Parrametta1.html,1,Parramatta
2020895238,6/50 Morton Street,Parramatta,NSW,2150,Villa,2,2,1,,-33.808857,151.0185,2026-06-30,by private treaty,850000,https://www.domain.com.au/6-50-morton-street-parramatta-nsw-2150-2020895238,Parrametta1.html,1,Parramatta
2020990997,33 Rosehill St,Parramatta,NSW,2150,House,4,1,1,691,-33.824707,150.9991,2026-08-08,by private treaty,2080000,https://www.domain.com.au/33-rosehill-st-parramatta-nsw-2150-2020990997,Parrametta1.html,1,Parramatta
2019467150,41 Gore Street,Parramatta,NSW,2150,House,3,2,1,449,-33.809635,151.01665,2025-06-16,by private treaty,1660000,https://www.domain.com.au/41-gore-street-parramatta-nsw-2150-2019467150,Parramattar2.html,2,Parramatta
2019637918,29 Gore Street,Parramatta,NSW,2150,House,3,2,3,442,-33.810246,151.01648,2025-04-24,by private treaty,1720000,https://www.domain.com.au/29-gore-street-parramatta-nsw-2150-2019637918,Parramattar2.html,2,Parramatta
2019783125,84 Crimea Street,Parramatta,NSW,2150,House,5,3,2,303,-33.822853,150.9915,2025-02-28,prior to auction,2170000,https://www.domain.com.au/84-crimea-street-parramatta-nsw-2150-2019783125,Parramattar2.html,2,Parramatta
2019802818,8 Lansdowne Street,Parramatta,NSW,2150,House,4,2,2,524,-33.82202,151.00018,2025-04-18,by private treaty,2080000,https://www.domain.com.au/8-lansdowne-street-parramatta-nsw-2150-2019802818,Parramattar2.html,2,Parramatta
2019830783,64 Macarthur Street,Parramatta,NSW,2150,House,3,2,1,1334,-33.810097,151.01466,2025-06-06,by private treaty,2650000,https://www.domain.com.au/64-macarthur-street-parramatta-nsw-2150-2019830783,Parramattar2.html,2,Parramatta
2019868925,5 Tennyson Street,Parramatta,NSW,2150,House,5,2,2,743,-33.81202,151.02057,2025-04-12,at auction,2045000,https://www.domain.com.au/5-tennyson-street-parramatta-nsw-2150-2019868925,Parramattar2.html,2,Parramatta
2019872630,6 Carrington Street,Parramatta,NSW,2150,House,3,2,3,670,-33.82403,150.99641,2025-04-29,by private treaty,1700000,https://www.domain.com.au/6-carrington-street-parramatta-nsw-2150-2019872630,Parramattar2.html,2,Parramatta
2019872716,6 Wandsworth Street,Parramatta,NSW,2150,House,4,1,2,543,-33.811203,151.01582,2025-04-12,at auction,1800000,https://www.domain.com.au/6-wandsworth-street-parramatta-nsw-2150-2019872716,Parramattar2.html,2,Parramatta
2019880662,12 Noller Parade,Parramatta,NSW,2150,House,6,3,2,560,-33.816593,151.01656,2025-04-25,by private treaty,2360000,https://www.domain.com.au/12-noller-parade-parramatta-nsw-2150-2019880662,Parramattar2.html,2,Parramatta
2019901833,33 Morton Street,Parramatta,NSW,2150,House,4,2,2,455,-33.810543,151.01746,2025-05-10,at auction,1672000,https://www.domain.com.au/33-morton-street-parramatta-nsw-2150-2019901833,Parramattar2.html,2,Parramatta
2019912932,18 Oak Street,Parramatta,NSW,2150,House,6,3,2,612,-33.819637,151.01875,2025-07-03,by private treaty,1850000,https://www.domain.com.au/18-oak-street-parramatta-nsw-2150-2019912932,Parramattar2.html,2,Parramatta
2019917987,30 Wandsworth Street,Parramatta,NSW,2150,House,2,1,2,332,-33.809376,151.01633,2025-05-03,at auction,1540000,https://www.domain.com.au/30-wandsworth-street-parramatta-nsw-2150-2019917987,Parramattar2.html,2,Parramatta
2019948228,22 Young Street,Parramatta,NSW,2150,House,3,1,2,,-33.82534,150.99243,2025-05-10,by private treaty,1230000,https://www.domain.com.au/22-young-street-parramatta-nsw-2150-2019948228,Parramattar2.html,2,Parramatta
